"Type","NameFR","NameNL","NameEN","Lat","Lon","DescFR","DescNL","DescEN","URL"
"Centre ONE","ONE BRUXELLES","KG BRUSSEL","KG BRUSSELS","50.8472547","4.3446921","Rue Van Artevelde 87 / 1000 Bruxelles","Rue Van Artevelde 87 / 1000 Bruxelles","Rue Van Artevelde 87 / 1000 Bruxelles",NA
"Centre ONE","ONE NEDER-OVER-HEEMBEEK","KG NEDER-OVER-HEEMBEEK","KG NEDER-OVER-HEEMBEEK","50.8958274","4.3905206","Rue François Vekemans 48 / 1120 Bruxelles (Neder-over-Heembeek)","Rue François Vekemans 48 / 1120 Bruxelles (Neder-over-Heembeek)","Rue François Vekemans 48 / 1120 Bruxelles (Neder-over-Heembeek)",NA
"Centre ONE","ONE BRUXELLES","KG BRUSSEL","KG BRUSSELS","50.8544128","4.3530675","Rue de l'Epargne 1 / 1000 Bruxelles","Rue de l'Epargne 1 / 1000 Bruxelles","Rue de l'Epargne 1 / 1000 Bruxelles",NA
"Centre ONE","ONE BRUXELLES","KG BRUSSEL","KG BRUSSELS","50.8336291","4.3493489","Boulevard de Waterloo 110 / 1000 Bruxelles","Boulevard de Waterloo 110 / 1000 Bruxelles","Boulevard de Waterloo 110 / 1000 Bruxelles",NA
"Centre ONE","ONE LAEKEN","KG LAEKEN","KG LAEKEN","50.899381","4.3587613","Rue Gustave Demanet 82 / 1020 Bruxelles (Laeken)","Rue Gustave Demanet 82 / 1020 Bruxelles (Laeken)","Rue Gustave Demanet 82 / 1020 Bruxelles (Laeken)",NA
"Centre ONE","ONE BRUXELLES","KG BRUSSEL","KG BRUSSELS","50.83775","4.3437205","Rue des Tanneurs 169 / 1000 Bruxelles","Rue des Tanneurs 169 / 1000 Bruxelles","Rue des Tanneurs 169 / 1000 Bruxelles",NA
"Centre ONE","ONE LAEKEN","KG LAEKEN","KG LAEKEN","50.8733138","4.3504084","Rue François Lesnino 59 / 1020 Bruxelles (Laeken)","Rue François Lesnino 59 / 1020 Bruxelles (Laeken)","Rue François Lesnino 59 / 1020 Bruxelles (Laeken)",NA
"Centre ONE","ONE LAEKEN","KG LAEKEN","KG LAEKEN","50.889646","4.3404861","Rue Félix Sterckx 38 / 1020 Bruxelles (Laeken)","Rue Félix Sterckx 38 / 1020 Bruxelles (Laeken)","Rue Félix Sterckx 38 / 1020 Bruxelles (Laeken)",NA
"Centre ONE","ONE LAEKEN","KG LAEKEN","KG LAEKEN","50.8798429","4.3425271","Rue Emile Delva 75 / 1020 Bruxelles (Laeken)","Rue Emile Delva 75 / 1020 Bruxelles (Laeken)","Rue Emile Delva 75 / 1020 Bruxelles (Laeken)",NA
"PARKINGBLUE","Anderlecht (rue) 147","Anderlechtsestw. 147","Anderlecht (rue) 147","50.8455447","4.3408121",NA,NA,NA,""
"PARKINGBLUE","Anderlecht (rue) 79","Anderlechtsestw. 79","Anderlecht (rue) 79","50.8457672","4.343124",NA,NA,NA,""
"PARKINGBLUE","Anvers (chaussée d') 447","Antwerpsesteenweg 447","Anvers (chaussée d') 447","50.87041618","4.360428954",NA,NA,NA,""
"PARKINGBLUE","Anvers (chaussée) 9","Antwerpsesteenweg 9","Anvers (chaussée) 9","50.85778506","4.353812217",NA,NA,NA,""
"PARKINGBLUE","Archimède (rue) coin Ambiorix","Archimedesstraat – Hoek Ambiorix","Archimède (rue) coin Ambiorix","50.84278217","4.383843913",NA,NA,NA,""
"PARKINGBLUE","Arlon (rue) 5","Aarlenstraat - Hoek Belliard","Arlon (rue) 5","50.8384871","4.3718937",NA,NA,NA,""
"PARKINGBLUE","Armateurs (place des) 6","Redersplaats 6","Armateurs (place des) 6","50.8649982","4.3509731",NA,NA,NA,""
"PARKINGBLUE","Baudouin (boulevard) 18","Boudewijnlaan 18","Baudouin (boulevard) 18","50.8573919","4.3522146",NA,NA,NA,""
"PARKINGBLUE","Béguinage (rue du) 13","Begijnhofstraat 13","Béguinage (rue du) 13","50.8529887","4.3493077",NA,NA,NA,""
"PARKINGBLUE","Benoit (place Peter ) 11","Peter Benoitplein 11","Benoit (place Peter ) 11","50.8963028","4.3882855",NA,NA,NA,""
"PARKINGBLUE","Bockstael (boulevard) 147","Bockstaellaan 147","Bockstael (boulevard) 147","50.87463424","4.347370478",NA,NA,NA,""
"PARKINGBLUE","Bockstael (boulevard) 309","Bockstaellaan 309","Bockstael (boulevard) 309","50.88223116","4.347007334",NA,NA,NA,""
"PARKINGBLUE","Bockstael (boulevard) 330","Bockstaellaan 183","Bockstael (boulevard) 330","50.88094808","4.347500333",NA,NA,NA,""
"PARKINGBLUE","Bockstael (boulevard) 72","Bockstaellaan 72","Bockstael (boulevard) 72","50.87199688","4.344567928",NA,NA,NA,""
"PARKINGBLUE","Bockstael (boulevard) 99","Bockstaellaan 99","Bockstael (boulevard) 99","50.87320435","4.346043563",NA,NA,NA,""
"PARKINGBLUE","Boulet (rue du) 27","Kogelstraat 27","Boulet (rue du) 27","50.8494828","4.3435776",NA,NA,NA,""
"PARKINGBLUE","Bruyn (rue) 130","Bruynstraat 130","Bruyn (rue) 130","50.9057512","4.3872028",NA,NA,NA,""
"PARKINGBLUE","Busleyden (avenue) 7","Busleydenlaan 7","Busleyden (avenue) 7","50.89724109","4.359744751",NA,NA,NA,""
"PARKINGBLUE","Cambre (boulevard de la) 48","Ter Kamerenlaan 48","Cambre (boulevard de la) 48","50.8157669","4.37388659",NA,NA,NA,""
"PARKINGBLUE","Camusel (rue) 12-14","Camuselstraat 12-14","Camusel (rue) 12-14","50.84602569","4.341164542",NA,NA,NA,""
"PARKINGBLUE","Cardinal (rue) 22","Kardinaalstraat 22","Cardinal (rue) 22","50.8492973","4.3791558",NA,NA,NA,""
"PARKINGBLUE","Chantier (quai) 10","Werfkaai 10","Chantier (quai) 10","50.85637185","4.348666256",NA,NA,NA,""
"PARKINGBLUE","Charles Quint (rue) 10","Keizer Karelstraat 10","Charles Quint (rue) 10","50.8503959","4.3816649",NA,NA,NA,""
"PARKINGBLUE","Charles Quint (rue) 26","Keizer Karelstraat 26","Charles Quint (rue) 26","50.85015643","4.382529129",NA,NA,NA,""
"PARKINGBLUE","Chartreux (rue des) 71","Kartuizerstraat 71","Chartreux (rue des) 71","50.84831453","4.343790922",NA,NA,NA,""
"PARKINGBLUE","Choux (rue) 35","Koolstraat 35","Choux (rue) 35","50.85217687","4.357527709",NA,NA,NA,""
"PARKINGBLUE","Cinquantenaire - Musée des Arts anciens","Jubelpark","Cinquantenaire - Musée des Arts anciens","50.8398834","4.393318",NA,NA,NA,""
"PARKINGBLUE","Claessens (rue) 93","Claessensstraat 93","Claessens (rue) 93","50.8714846","4.35398",NA,NA,NA,""
"PARKINGBLUE","Clovis (boulevard) 18-20","Clovislaan 18-20","Clovis (boulevard) 18-20","50.8484237","4.3824369",NA,NA,NA,""
"PARKINGBLUE","Combattants (square) 4","Strijderssquare 4","Combattants (square) 4","50.87636263","4.348795713",NA,NA,NA,""
"TOILET","Toilette Quai ‡ la Houille","Toilet Quai ‡ la Houille","Toilet Quai ‡ la Houille","50.85394596","4.346762248","","","",""
"TOILET","Toilette Bourse","Toilet Bourse","Toilet Bourse","50.84832002","4.349164847","","","",""
"TOILET","Toilette MÈtro Midi","Toilet MÈtro Midi","Toilet MÈtro Midi","50.836452","4.337961","","","",""
"TOILET","Toilette Parking Dansaert","Toilet Parking Dansaert","Toilet Parking Dansaert","50.850686","4.344284","","","",""
"TOILET","Toilette Parking Grand-Place","Toilet Parking Grand-Place","Toilet Parking Grand-Place","50.846758","4.354184","","","",""
"TOILET","Toilette Parking PachÈco","Toilet Parking PachÈco","Toilet Parking PachÈco","50.851509","4.362054","","","",""
"TOILET","Toilette Parking Porte de Hal","Toilet Parking Porte de Hal","Toilet Parking Porte de Hal","50.833758","4.349766","","","",""
"TOILET","Toilette Parc de la Porte de Hal","Toilet Parc de la Porte de Hal","Toilet Parc de la Porte de Hal","50.83301","4.34863","","","",""
"TOILET","Toilette Atomium","Toilet Atomium","Toilet Atomium","50.8949","4.34096","","","",""
"TOILET","Toilette Centre Monnaie","Toilet Centre Monnaie","Toilet Centre Monnaie","50.85014702","4.353225231","","","",""
"TOILET","Toilette Galerie Agora","Toilet Galerie Agora","Toilet Galerie Agora","50.846387","4.35402","","","",""
"TOILET","Toilette Galerie du Passage 44","Toilet Galerie du Passage 44","Toilet Galerie du Passage 44","50.853988","4.362792","","","",""
"TOILET","Toilette Avenue du Craetveld","Toilet Avenue du Craetveld","Toilet Avenue du Craetveld","50.89860767","4.385626316","","","",""
"TOILET","Toilette Rue Arthur Maes","Toilet Rue Arthur Maes","Toilet Rue Arthur Maes","50.88645324","4.429550171","","","",""
"TOILET","Toilette Parking 58","Toilet Parking 58","Toilet Parking 58","50.850812","4.350794","","","",""
"TOILET","Toilette Boulevard Adolphe Max","Toilet Boulevard Adolphe Max","Toilet Boulevard Adolphe Max","50.853357","4.355395","","","",""
"TOILET","Toilette Avenue Houba de Strooper","Toilet Avenue Houba de Strooper","Toilet Avenue Houba de Strooper","50.88987791","4.337325096","","","",""
"TOILET","Toilette Avenue des Pagodes","Toilet Avenue des Pagodes","Toilet Avenue des Pagodes","50.89567087","4.357259274","","","",""
"TOILET","Toilette MÈtro De BrouckËre","Toilet MÈtro De BrouckËre","Toilet MÈtro De BrouckËre","50.850525","4.351747","","","",""
"TOILET","Toilette Parc de Laeken","Toilet Parc de Laeken","Toilet Parc de Laeken","50.8907","4.34597","","","",""
"TOILET","Toilette Halles Saint-GÈry","Toilet Halles Saint-GÈry","Toilet Halles Saint-GÈry","50.847844","4.347389","","","",""
"TOILET","Toilette Gare Bruxelles Central","Toilet Gare Bruxelles Central","Toilet Gare Bruxelles Central","50.845739","4.356677","","","",""
"TOILET","Toilette Parking Albertine","Toilet Parking Albertine","Toilet Parking Albertine","50.843305","4.35481","","","",""
"TOILET","Toilette Parking Ecuyer","Toilet Parking Ecuyer","Toilet Parking Ecuyer","50.849309","4.353386","","","",""
"TOILET","Toilette Parc Roi Baudouin","Toilet Parc Roi Baudouin","Toilet Parc Roi Baudouin","50.88201","4.32253","","","",""
"TOILET","Toilette Place du Nouveau MarchÈ aux Grains","Toilet Place du Nouveau MarchÈ aux Grains","Toilet Place du Nouveau MarchÈ aux Grains","50.85113995","4.345292657","","","",""
"TOILET","Toilette Anneessens","Toilet Anneessens","Toilet Anneessens","50.84402322","4.343549215","","","",""
"TOILET","Toilette City 2","Toilet City 2","Toilet City 2","50.852742","4.35774","","","",""
"TOILET","Toilette MÈtro Louise","Toilet MÈtro Louise","Toilet MÈtro Louise","50.83565","4.355522","","","",""
"TOILET","Toilette MÈtro Rogier","Toilet MÈtro Rogier","Toilet MÈtro Rogier","50.85553","4.358314","","","",""
"TOILET","Toilette Gare Bruxelles CongrËs","Toilet Gare Bruxelles CongrËs","Toilet Gare Bruxelles CongrËs","50.851751","4.362364","","","",""
"TOILET","Toilette Gare Bruxelles Nord","Toilet Gare Bruxelles Nord","Toilet Gare Bruxelles Nord","50.860493","4.360704","","","",""
"TOILET","Toilette Gare Bruxelles Midi","Toilet Gare Bruxelles Midi","Toilet Gare Bruxelles Midi","50.83609633","4.338269234","","","",""
"TOILET","Toilette Parking Botanique","Toilet Parking Botanique","Toilet Parking Botanique","50.854701","4.360214","","","",""
"TOILET","Toilette Place Emile Bockstael","Toilet Place Emile Bockstael","Toilet Place Emile Bockstael","50.87696087","4.346762585","","","",""
"Hotel","Martin's Central Park","Martin's Central Park","Martin's Central Park","50.845562","4.3822084","Martin's Central Park","Martin's Central Park","Martin's Central Park","Martin's Central Park"
"Hotel","New Hotel Charlemagne","New Hotel Charlemagne","New Hotel Charlemagne","50.8451609","4.3827148","New Hotel Charlemagne","New Hotel Charlemagne","New Hotel Charlemagne","New Hotel Charlemagne"
"Hotel","adagio","adagio","adagio","50.8500453","4.3517996","adagio","adagio","adagio","adagio"
"Hotel","Thon hotel EU","Thon hotel EU","Thon hotel EU","50.8439322","4.3755429","Thon hotel EU","Thon hotel EU","Thon hotel EU","Thon hotel EU"
"Hotel","First Euroflat Hotel ****","First Euroflat Hotel ****","First Euroflat Hotel ****","50.8448256","4.3820811","First Euroflat Hotel ****","First Euroflat Hotel ****","First Euroflat Hotel ****","First Euroflat Hotel ****"
